# Time   VAF(t)
9.036384  -0.017031
9.056376  -0.027996
9.076368  -0.036402
9.096360  -0.042345
9.116352  -0.046747
9.136344  -0.049722
9.156336  -0.049579
9.176328  -0.043642
9.196320  -0.030004
9.216312  -0.009186
9.236304  0.015366
9.256296  0.038343
9.276288  0.054601
9.296280  0.060654
9.316272  0.054781
9.336264  0.036913
9.356256  0.009289
9.376248  -0.023323
9.396240  -0.054773
9.416232  -0.079350
9.436224  -0.092823
9.456216  -0.092638
9.476208  -0.078029
9.496200  -0.050142
9.516192  -0.012373
9.536184  0.029035
9.556176  0.065359
9.576168  0.088103
9.596160  0.092392
9.616152  0.078365
9.636144  0.050398
9.656136  0.015651
9.676128  -0.017359
9.696120  -0.040769
9.716112  -0.049826
9.736104  -0.043823
9.756096  -0.025148
9.776088  0.002012
9.796080  0.032306
9.816072  0.059319
9.836064  0.076116
9.856056  0.077333
9.876048  0.061612
9.896040  0.032424
9.916032  -0.003366
9.936024  -0.038011
9.956016  -0.065035
9.976008  -0.080202
9.996000  -0.081656
10.015992  -0.070156
10.035984  -0.049211
10.055976  -0.024153
10.075968  -0.000401
10.095960  0.018265
10.115952  0.030883
10.135944  0.038905
10.155936  0.043960
10.175928  0.045379
10.195920  0.039643
10.215912  0.022988
10.235904  -0.004369
10.255896  -0.036660
10.275888  -0.064919
10.295880  -0.080776
10.315872  -0.079142
10.335864  -0.059618
10.355856  -0.026564
10.375848  0.012234
10.395840  0.047785
10.415832  0.072495
10.435824  0.082329
10.455816  0.077465
10.475808  0.061251
10.495800  0.038624
10.515792  0.014868
10.535784  -0.005274
10.555776  -0.018519
10.575768  -0.023634
10.595760  -0.021236
10.615752  -0.013665
10.635744  -0.004783
10.655736  0.001235
10.675728  0.001662
10.695720  -0.003778
10.715712  -0.013235
10.735704  -0.023622
10.755696  -0.031559
10.775688  -0.034408
10.795680  -0.031216
10.815672  -0.023336
10.835664  -0.013944
10.855656  -0.006545
10.875648  -0.003173
10.895640  -0.002990
10.915632  -0.002238
10.935624  0.003738
10.955616  0.016862
10.975608  0.034171
10.995600  0.049137
11.015592  0.055200
11.035584  0.048750
11.055576  0.030228
11.075568  0.003928
11.095560  -0.023095
11.115552  -0.043215
11.135544  -0.051067
11.155536  -0.045605
11.175528  -0.030125
11.195520  -0.010496
11.215512  0.007021
11.235504  0.017787
11.255496  0.020318
11.275488  0.016700
11.295480  0.011417
